date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:29:16	23/23	---M--	200	added ('OK')	text/plain	etag:%22c9bf5b8de8d11bfa041e311d66c754f1-ssl%22	https://whoisretargeting.me/robots.txt		(from )
18:29:16	21201/21201	---MCZ	200	added ('OK')	text/html	etag:%22973c9567edca9446db8ebff89b209f07-ssl-df%22	https://whoisretargeting.me/	C:/test/whoisretargeting.me/index.html	(from )
18:29:16	15744/15744	---M--	200	added ('OK')	image/png	etag:ed1e3cb933bce5107ce4ae543f1b4133afd4680c	https://d33wubrfki0l68.cloudfront.net/e378852b1be9034fabcb5a145f5520a783e09c98/60e4b/ad_bg.png	C:/test/d33wubrfki0l68.cloudfront.net/e378852b1be9034fabcb5a145f5520a783e09c98/60e4b/ad_bg.png	(from https://whoisretargeting.me/)
18:29:17	47332/47332	---MC-	200	added ('OK')	text/javascript	date:Fri,%2005%20Feb%202021%2021:33:27%20GMT	https://www.google-analytics.com/analytics.js	C:/test/www.google-analytics.com/analytics.js	(from https://whoisretargeting.me/)
18:29:17	957/957	---M--	200	added ('OK')	image/svg+xml	etag:%22645c7b5ea21ac5489e580b79b4077bf0-ssl%22	https://whoisretargeting.me/static/images/refresh.svg	C:/test/whoisretargeting.me/static/images/refresh.svg	(from https://whoisretargeting.me/)
18:29:18	20323/20323	---M-Z	200	added ('OK')	text/html	etag:%223cae7278563ca85ddc33541201a3efeb-ssl-df%22	https://whoisretargeting.me/leaderboard.html	C:/test/whoisretargeting.me/leaderboard.html	(from https://whoisretargeting.me/)
18:29:18	20318/20318	---MCZ	200	added ('OK')	text/html	etag:%225a8cea48a41fb314b2100e98323528ec-ssl-df%22	https://whoisretargeting.me/skyscrapers.html	C:/test/whoisretargeting.me/skyscrapers.html	(from https://whoisretargeting.me/)
18:29:19	21065/21065	---MCZ	200	added ('OK')	text/html	etag:%22e7714ea14347c7c079eb8d3c50879c21-ssl-df%22	https://whoisretargeting.me/text-ads.html	C:/test/whoisretargeting.me/text-ads.html	(from https://whoisretargeting.me/)
18:29:20	20431/20431	---MCZ	200	added ('OK')	text/html	etag:%225f6ee6b1779e837c800a99353627ffc7-ssl-df%22	https://whoisretargeting.me/how-does-google-ads-remarketing-work.html	C:/test/whoisretargeting.me/how-does-google-ads-remarketing-work.html	(from https://whoisretargeting.me/)
18:29:20	20384/20384	---MCZ	200	added ('OK')	text/html	etag:%2205888dc6116d3300b63dcb5eb788008a-ssl-df%22	https://whoisretargeting.me/how-much-does-remarketing-cost.html	C:/test/whoisretargeting.me/how-much-does-remarketing-cost.html	(from https://whoisretargeting.me/)
18:29:20	20326/20326	---MCZ	200	added ('OK')	text/html	etag:%22a1107c6969e2027eb3529dd31eece58d-ssl-df%22	https://whoisretargeting.me/how-to-block-retargeting-or-remarketing.html	C:/test/whoisretargeting.me/how-to-block-retargeting-or-remarketing.html	(from https://whoisretargeting.me/)
18:29:21	20330/20330	---MCZ	200	added ('OK')	text/html	etag:%228461fa92c1d5b284a30ac4bbfcc3e9d4-ssl-df%22	https://whoisretargeting.me/how-to-create-a-retargeting-remarketing-campaign.html	C:/test/whoisretargeting.me/how-to-create-a-retargeting-remarketing-campaign.html	(from https://whoisretargeting.me/)
18:29:22	20492/20492	---MCZ	200	added ('OK')	text/html	etag:%22ef4449242af64d60ab0e4d3e283b726b-ssl-df%22	https://whoisretargeting.me/is-remarketing-different-from-retargeting.html	C:/test/whoisretargeting.me/is-remarketing-different-from-retargeting.html	(from https://whoisretargeting.me/)
18:29:22	20439/20439	---MCZ	200	added ('OK')	text/html	etag:%22e4d6864a2cc6b7b24050d009fb6f70b6-ssl-df%22	https://whoisretargeting.me/what-is-retargeting-in-digital-marketing.html	C:/test/whoisretargeting.me/what-is-retargeting-in-digital-marketing.html	(from https://whoisretargeting.me/)
18:29:25	141377/141377	---MC-	200	added ('OK')	text/javascript	date:Sat,%2027%20Feb%202021%2012:28:13%20GMT	http://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/test/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://whoisretargeting.me/)
